Env,Agent,Down,Dist,Field,Top_Choice,Top_Prob,Pass_Prob,Run_Prob,Punt_Prob,FG_Prob
nfl-bucketed,ppo,3,Short,Opp 42,SHOTGUN,0.963,0.002,0.997,0.0,0.0
nfl-bucketed,ppo,3,Short,Opp 37,SHOTGUN,0.948,0.006,0.994,0.0,0.0
nfl-bucketed,ppo,3,Short,Opp 32,SHOTGUN,0.931,0.022,0.978,0.0,0.0
nfl-bucketed,ppo,3,Short,Opp 27,SHOTGUN,0.921,0.099,0.9,0.0,0.0
nfl-bucketed,ppo,3,Short,Opp 22,SHOTGUN,0.913,0.414,0.586,0.0,0.0
nfl-bucketed,ppo,3,Short,Opp 17,SHOTGUN,0.902,0.8,0.199,0.0,0.0
nfl-bucketed,ppo,3,Short,Opp 12,SHOTGUN,0.893,0.955,0.045,0.0,0.0
nfl-bucketed,ppo,3,Short,Opp 7,SHOTGUN,0.884,0.988,0.012,0.0,0.0
nfl-bucketed,ppo,3,Short,Opp 2,SHOTGUN,0.875,0.996,0.004,0.0,0.0
nfl-bucketed,ppo,3,Med,Own 3,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Med,Own 8,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Med,Own 13,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Med,Own 18,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Med,Own 23,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Med,Own 28,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Med,Own 33,UNDER CENTER,0.988,0.999,0.0,0.0,0.0
nfl-bucketed,ppo,3,Med,Own 38,UNDER CENTER,0.606,0.997,0.002,0.0,0.0
nfl-bucketed,ppo,3,Med,Own 43,SHOTGUN,0.959,0.996,0.004,0.0,0.0
nfl-bucketed,ppo,3,Med,Own 48,SHOTGUN,0.988,0.995,0.005,0.0,0.0
nfl-bucketed,ppo,3,Med,Opp 47,SHOTGUN,0.975,0.994,0.006,0.0,0.0
nfl-bucketed,ppo,3,Med,Opp 42,SHOTGUN,0.943,0.994,0.006,0.0,0.0
nfl-bucketed,ppo,3,Med,Opp 37,SHOTGUN,0.902,0.995,0.005,0.0,0.0
nfl-bucketed,ppo,3,Med,Opp 32,SHOTGUN,0.869,0.997,0.003,0.0,0.0
nfl-bucketed,ppo,3,Med,Opp 27,SHOTGUN,0.829,0.998,0.001,0.0,0.0
nfl-bucketed,ppo,3,Med,Opp 22,SHOTGUN,0.779,0.999,0.001,0.0,0.0
nfl-bucketed,ppo,3,Med,Opp 17,SHOTGUN,0.722,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Med,Opp 12,SHOTGUN,0.668,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Med,Opp 7,SHOTGUN,0.636,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Med,Opp 2,SHOTGUN,0.618,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Long,Own 3,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Long,Own 8,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Long,Own 13,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Long,Own 18,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Long,Own 23,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Long,Own 28,UNDER CENTER,0.988,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Long,Own 33,UNDER CENTER,0.784,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Long,Own 38,SHOTGUN,0.883,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Long,Own 43,SHOTGUN,0.994,0.999,0.0,0.0,0.0
nfl-bucketed,ppo,3,Long,Own 48,SHOTGUN,0.996,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Long,Opp 47,SHOTGUN,0.988,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Long,Opp 42,SHOTGUN,0.971,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Long,Opp 37,SHOTGUN,0.945,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Long,Opp 32,SHOTGUN,0.91,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Long,Opp 27,SHOTGUN,0.866,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Long,Opp 22,SHOTGUN,0.807,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Long,Opp 17,SHOTGUN,0.735,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Long,Opp 12,SHOTGUN,0.66,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Long,Opp 7,SHOTGUN,0.577,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Long,Opp 2,SHOTGUN,0.504,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,V.Long,Own 3,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,V.Long,Own 8,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,V.Long,Own 13,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,V.Long,Own 18,UNDER CENTER,0.997,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,V.Long,Own 23,UNDER CENTER,0.961,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,V.Long,Own 28,UNDER CENTER,0.663,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,V.Long,Own 33,SHOTGUN,0.877,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,V.Long,Own 38,SHOTGUN,0.99,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,V.Long,Own 43,SHOTGUN,0.999,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,V.Long,Own 48,SHOTGUN,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,V.Long,Opp 47,SHOTGUN,0.999,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,V.Long,Opp 42,SHOTGUN,0.996,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,V.Long,Opp 37,SHOTGUN,0.987,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,V.Long,Opp 32,SHOTGUN,0.966,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,V.Long,Opp 27,SHOTGUN,0.934,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,V.Long,Opp 22,SHOTGUN,0.895,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,V.Long,Opp 17,SHOTGUN,0.849,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,V.Long,Opp 12,SHOTGUN,0.794,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,V.Long,Opp 7,SHOTGUN,0.73,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,V.Long,Opp 2,SHOTGUN,0.651,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Short,Own 3,UNDER CENTER,1.0,0.093,0.907,0.0,0.0
nfl-bucketed,ppo,4,Short,Own 8,UNDER CENTER,1.0,0.028,0.972,0.0,0.0
nfl-bucketed,ppo,4,Short,Own 13,UNDER CENTER,1.0,0.012,0.988,0.0,0.0
nfl-bucketed,ppo,4,Short,Own 18,UNDER CENTER,1.0,0.006,0.994,0.0,0.0
nfl-bucketed,ppo,4,Short,Own 23,UNDER CENTER,1.0,0.003,0.997,0.0,0.0
nfl-bucketed,ppo,4,Short,Own 28,UNDER CENTER,1.0,0.002,0.998,0.0,0.0
nfl-bucketed,ppo,4,Short,Own 33,UNDER CENTER,1.0,0.001,0.999,0.0,0.0
nfl-bucketed,ppo,4,Short,Own 38,UNDER CENTER,0.999,0.001,0.999,0.0,0.0
nfl-bucketed,ppo,4,Short,Own 43,UNDER CENTER,0.974,0.001,0.999,0.0,0.0
nfl-bucketed,ppo,4,Short,Own 48,UNDER CENTER,0.518,0.0,0.999,0.0,0.0
nfl-bucketed,ppo,4,Short,Opp 47,SHOTGUN,0.967,0.001,0.999,0.0,0.0
nfl-bucketed,ppo,4,Short,Opp 42,SHOTGUN,0.998,0.001,0.999,0.0,0.0
nfl-bucketed,ppo,4,Short,Opp 37,SHOTGUN,1.0,0.002,0.998,0.0,0.0
nfl-bucketed,ppo,4,Short,Opp 32,SHOTGUN,1.0,0.004,0.996,0.0,0.0
nfl-bucketed,ppo,4,Short,Opp 27,SHOTGUN,0.999,0.009,0.99,0.0,0.0
nfl-bucketed,ppo,4,Short,Opp 22,SHOTGUN,0.999,0.032,0.967,0.0,0.0
nfl-bucketed,ppo,4,Short,Opp 17,SHOTGUN,0.999,0.119,0.881,0.0,0.0
nfl-bucketed,ppo,4,Short,Opp 12,SHOTGUN,0.998,0.384,0.616,0.0,0.0
nfl-bucketed,ppo,4,Short,Opp 7,SHOTGUN,0.997,0.744,0.256,0.0,0.0
nfl-bucketed,ppo,4,Short,Opp 2,SHOTGUN,0.996,0.919,0.081,0.0,0.0
nfl-bucketed,ppo,4,Med,Own 3,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Med,Own 8,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Med,Own 13,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Med,Own 18,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Med,Own 23,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Med,Own 28,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Med,Own 33,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Med,Own 38,UNDER CENTER,0.993,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Med,Own 43,UNDER CENTER,0.722,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Med,Own 48,SHOTGUN,0.942,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Med,Opp 47,SHOTGUN,0.998,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Med,Opp 42,SHOTGUN,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Med,Opp 37,SHOTGUN,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Med,Opp 32,SHOTGUN,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Med,Opp 27,SHOTGUN,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Med,Opp 22,SHOTGUN,0.999,0.999,0.0,0.0,0.0
nfl-bucketed,ppo,4,Med,Opp 17,SHOTGUN,0.999,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Med,Opp 12,SHOTGUN,0.998,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Med,Opp 7,SHOTGUN,0.997,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Med,Opp 2,SHOTGUN,0.996,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Long,Own 3,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Long,Own 8,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Long,Own 13,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Long,Own 18,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Long,Own 23,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Long,Own 28,UNDER CENTER,0.999,0.999,0.0,0.0,0.0
nfl-bucketed,ppo,4,Long,Own 33,UNDER CENTER,0.989,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Long,Own 38,UNDER CENTER,0.822,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Long,Own 43,SHOTGUN,0.875,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Long,Own 48,SHOTGUN,0.994,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Long,Opp 47,SHOTGUN,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Long,Opp 42,SHOTGUN,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Long,Opp 37,SHOTGUN,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Long,Opp 32,SHOTGUN,1.0,1.0,0.0,0.0,0.0
