# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
92,1768578378.7869291,294400,-0.04816625639796257,2.3072052001953125,-0.02184358239173889,2.000575542449951
93,1768578383.3498278,297600,-0.04816625639796257,2.3072052001953125,-0.02174936980009079,2.183793067932129
94,1768578390.3525805,300800,-0.047939483076334,2.3929147720336914,-0.02174936980009079,2.183793067932129
95,1768578401.9631631,304000,-0.04726657643914223,2.131157398223877,-0.02174936980009079,2.183793067932129
96,1768578406.4505162,307200,-0.04726657643914223,2.131157398223877,-0.021427974104881287,2.1033143997192383
97,1768578413.4749553,310400,-0.046349335461854935,2.198341131210327,-0.021427974104881287,2.1033143997192383
98,1768578425.03124,313600,-0.045175980776548386,2.0718212127685547,-0.021427974104881287,2.1033143997192383
99,1768578429.6642132,316800,-0.045175980776548386,2.0718212127685547,-0.02207915112376213,2.110183000564575
100,1768578436.5812714,320000,-0.044666096568107605,2.2276220321655273,-0.02207915112376213,2.110183000564575
101,1768578447.9767082,323200,-0.04438279569149017,2.058816909790039,-0.02207915112376213,2.110183000564575
102,1768578452.5469031,326400,-0.04438279569149017,2.058816909790039,-0.020222533494234085,2.286186695098877
103,1768578459.5742016,329600,-0.04512795805931091,2.479783058166504,-0.020222533494234085,2.286186695098877
104,1768578471.1095555,332800,-0.045222170650959015,2.0867092609405518,-0.020222533494234085,2.286186695098877
105,1768578475.5904093,336000,-0.045222170650959015,2.0867092609405518,-0.019168997183442116,2.1210670471191406
106,1768578482.579151,339200,-0.04357049986720085,2.076115608215332,-0.019168997183442116,2.1210670471191406
107,1768578494.0034122,342400,-0.042698994278907776,2.0231761932373047,-0.019168997183442116,2.1210670471191406
108,1768578498.806483,345600,-0.042698994278907776,2.0231761932373047,-0.019316835328936577,2.0312368869781494
109,1768578505.4758832,348800,-0.04238578677177429,1.8747066259384155,-0.019316835328936577,2.0312368869781494
110,1768578517.015783,352000,-0.042135514318943024,2.236022710800171,-0.019316835328936577,2.0312368869781494
111,1768578522.0545092,355200,-0.042135514318943024,2.236022710800171,-0.019132496789097786,2.0558435916900635
112,1768578528.445899,358400,-0.041746653616428375,2.089261293411255,-0.019132496789097786,2.0558435916900635
113,1768578540.2994788,361600,-0.04090292751789093,2.261044502258301,-0.019132496789097786,2.0558435916900635
114,1768578545.5918403,364800,-0.04090292751789093,2.261044502258301,-0.019057026132941246,2.1616151332855225
115,1768578551.860648,368000,-0.04035327956080437,2.16910982131958,-0.019057026132941246,2.1616151332855225
116,1768578563.4014444,371200,-0.03942286968231201,1.9564285278320312,-0.019057026132941246,2.1616151332855225
117,1768578568.793931,374400,-0.03942286968231201,1.9564285278320312,-0.01949309930205345,1.9963696002960205
118,1768578574.9432688,377600,-0.038499604910612106,2.0633926391601562,-0.01949309930205345,1.9963696002960205
119,1768578586.3492823,380800,-0.038724612444639206,1.994112253189087,-0.01949309930205345,1.9963696002960205
120,1768578592.0373518,384000,-0.038724612444639206,1.994112253189087,-0.01853865198791027,1.9888519048690796
121,1768578597.828691,387200,-0.03871215879917145,2.2494633197784424,-0.01853865198791027,1.9888519048690796
122,1768578609.4632275,390400,-0.03816588968038559,1.9163891077041626,-0.01853865198791027,1.9888519048690796
123,1768578615.220897,393600,-0.03816588968038559,1.9163891077041626,-0.018049664795398712,2.1427645683288574
124,1768578620.8379292,396800,-0.037763163447380066,2.059925079345703,-0.018049664795398712,2.1427645683288574
125,1768578632.1822424,400000,-0.03729114308953285,2.138925790786743,-0.018049664795398712,2.1427645683288574
126,1768578638.2632256,403200,-0.03729114308953285,2.138925790786743,-0.017332324758172035,2.043940782546997
127,1768578643.5663998,406400,-0.0373467355966568,2.0392682552337646,-0.017332324758172035,2.043940782546997
128,1768578655.0165775,409600,-0.036808352917432785,2.1468279361724854,-0.017332324758172035,2.043940782546997
129,1768578661.1551783,412800,-0.036808352917432785,2.1468279361724854,-0.017369955778121948,2.0915026664733887
130,1768578666.5152996,416000,-0.035183556377887726,1.9195339679718018,-0.017369955778121948,2.0915026664733887
131,1768578678.1650126,419200,-0.03500675782561302,2.11383318901062,-0.017369955778121948,2.0915026664733887
132,1768578684.0229342,422400,-0.03500675782561302,2.11383318901062,-0.0174765232950449,2.0057432651519775
133,1768578689.8630815,425600,-0.034703098237514496,2.0509567260742188,-0.0174765232950449,2.0057432651519775
134,1768578701.4196458,428800,-0.03397800773382187,2.236284017562866,-0.0174765232950449,2.0057432651519775
135,1768578707.2296765,432000,-0.03397800773382187,2.236284017562866,-0.017901474609971046,2.1308741569519043
136,1768578712.874899,435200,-0.03400813415646553,2.1114840507507324,-0.017901474609971046,2.1308741569519043
137,1768578724.2913027,438400,-0.033169474452733994,2.192648410797119,-0.017901474609971046,2.1308741569519043
138,1768578730.1201367,441600,-0.033169474452733994,2.192648410797119,-0.018350480124354362,2.028012275695801
139,1768578735.6720936,444800,-0.03318292275071144,2.3569459915161133,-0.018350480124354362,2.028012275695801
140,1768578747.0745592,448000,-0.03219854459166527,2.066380262374878,-0.018350480124354362,2.028012275695801
141,1768578753.0198824,451200,-0.03219854459166527,2.066380262374878,-0.01819518953561783,2.341702938079834
142,1768578758.536455,454400,-0.03148375451564789,2.1914284229278564,-0.01819518953561783,2.341702938079834
143,1768578770.0371726,457600,-0.030939441174268723,1.8084765672683716,-0.01819518953561783,2.341702938079834
144,1768578775.8085728,460800,-0.030939441174268723,1.8084765672683716,-0.018856942653656006,1.8795815706253052
145,1768578781.526136,464000,-0.030459992587566376,1.9814614057540894,-0.018856942653656006,1.8795815706253052
146,1768578793.0762768,467200,-0.03011791594326496,2.0770986080169678,-0.018856942653656006,1.8795815706253052
147,1768578798.781715,470400,-0.03011791594326496,2.0770986080169678,-0.019349440932273865,1.946138620376587
148,1768578804.6512263,473600,-0.02928142063319683,1.8856236934661865,-0.019349440932273865,1.946138620376587
149,1768578816.2154603,476800,-0.0037874404806643724,2.266063928604126,-0.019349440932273865,1.946138620376587
150,1768578821.8788657,480000,-0.0037874404806643724,2.266063928604126,-0.019424552097916603,2.1777865886688232
151,1768578827.8357866,483200,0.0085346270352602,2.3471100330352783,-0.019424552097916603,2.1777865886688232
152,1768578839.3663194,486400,0.008817421272397041,2.1250393390655518,-0.019424552097916603,2.1777865886688232
153,1768578844.9629157,489600,0.008817421272397041,2.1250393390655518,-0.0197393037378788,2.211564779281616
154,1768578850.8457527,492800,0.008882484398782253,2.0805306434631348,-0.0197393037378788,2.211564779281616
155,1768578862.2380629,496000,0.008647655136883259,2.141984462738037,-0.0197393037378788,2.211564779281616
156,1768578867.8113313,499200,0.008647655136883259,2.141984462738037,-0.020073099061846733,2.027224063873291
157,1768578873.5875483,502400,0.008738270960748196,1.8371473550796509,-0.020073099061846733,2.027224063873291
158,1768578884.9681356,505600,0.009410778991878033,2.0084035396575928,-0.020073099061846733,2.027224063873291
159,1768578890.573435,508800,0.009410778991878033,2.0084035396575928,-0.020713848993182182,1.8523706197738647
160,1768578896.4355254,512000,0.009904973208904266,1.7349289655685425,-0.020713848993182182,1.8523706197738647
161,1768578907.9148908,515200,0.009611224755644798,2.028884172439575,-0.020713848993182182,1.8523706197738647
162,1768578913.5736704,518400,0.009611224755644798,2.028884172439575,-0.020847762003540993,1.851961612701416
163,1768578919.4069982,521600,0.009991548024117947,1.8501490354537964,-0.020847762003540993,1.851961612701416
164,1768578930.8748527,524800,0.010074458085000515,1.9873549938201904,-0.020847762003540993,1.851961612701416
165,1768578936.607624,528000,0.010074458085000515,1.9873549938201904,-0.020568033680319786,2.0687272548675537
166,1768578942.3411448,531200,0.009507033973932266,2.057615041732788,-0.020568033680319786,2.0687272548675537
167,1768578953.742823,534400,0.008712629787623882,2.2077629566192627,-0.020568033680319786,2.0687272548675537
168,1768578959.5075862,537600,0.008712629787623882,2.2077629566192627,-0.020329812541604042,2.041520833969116
169,1768578965.2811887,540800,0.008503376506268978,2.126303195953369,-0.020329812541604042,2.041520833969116
170,1768578976.7207904,544000,0.008593308739364147,1.8195546865463257,-0.020329812541604042,2.041520833969116
171,1768578982.4814744,547200,0.008593308739364147,1.8195546865463257,-0.02096884325146675,1.8600283861160278
172,1768578988.073433,550400,0.009133696556091309,1.8265551328659058,-0.02096884325146675,1.8600283861160278
173,1768578999.455077,553600,0.009593725204467773,1.9793860912322998,-0.02096884325146675,1.8600283861160278
174,1768579005.4093616,556800,0.009593725204467773,1.9793860912322998,-0.021656254306435585,1.9960458278656006
175,1768579010.9568563,560000,0.009617408737540245,2.1093764305114746,-0.021656254306435585,1.9960458278656006
176,1768579022.6014912,563200,0.010195649228990078,2.0226542949676514,-0.021656254306435585,1.9960458278656006
177,1768579028.5843015,566400,0.010195649228990078,2.0226542949676514,-0.021840335801243782,2.042541980743408
178,1768579033.9639983,569600,0.010096603073179722,1.9974117279052734,-0.021840335801243782,2.042541980743408
